id,nama,x,y
1,Ambarukmo - A,110.401786,-7.783292
2,Ambarukmo - B,110.402438,-7.783186
3,Babarsari - A,110.412218,-7.77397
4,Babarsari - B,110.412099,-7.77392
5,Bandara Adisujtipto,110.435712,-7.784497
6,Binamarga,110.430699,-7.774443
7,Biologi UGM,110.376905,-7.765289
8,Boulevard UII,110.417273,-7.687506
9,Budi Mulia Dua - A,110.434193,-7.74294
10,Budi Mulia Dua - B,110.434242,-7.743195
11,De Britto,110.393893,-7.783094
12,Demak Ijo - A,110.332008,-7.776496
13,Demak Ijo - B,110.332038,-7.775782
14,Dentes Godean,110.34374,-7.779783
15,Dishub DIY,110.415079,-7.778035
16,Disnakertrans - A,110.431166,-7.769365
17,Disnakertrans - B,110.431485,-7.767863
18,Dusun Kledokan - A,110.417366,-7.672637
19,Dusun Kledokan - B,110.417403,-7.672726
20,Dusun Ngawen,110.343879,-7.744844
21,Edotel Kalasan - A,110.482651,-7.756754
22,Edotel Kalasan - B,110.48261,-7.756636
23,FKG UGM - A,110.375119,-7.771354
24,FKG UGM - B,110.375301,-7.771477
25,Gardu PLN - A,110.392461,-7.739255
26,Gardu PLN - B,110.392781,-7.73878
27,Gedung Wanita,110.39271,-7.783187
28,Hotel Vidi,110.380208,-7.761786
29,Hyundai,110.428348,-7.783518
30,Indomaret Klajuran - A,110.31175,-7.772253
31,Indomaret Klajuran - B,110.311807,-7.772338
32,Indomaret Pokoh Sambiroto - A,110.434613,-7.735554
33,Indomaret Pokoh Sambiroto - B,110.434618,-7.736078
34,Instiper - A,110.423632,-7.764459
35,Instiper - B,110.423537,-7.764322
36,Janti Selatan,110.410482,-7.785772
37,Janti Utara,110.411672,-7.783211
38,Jayakarta,110.419409,-7.783404
39,Jl. Raya Kabunan - A,110.442836,-7.713204
40,Jl. Raya Kabunan - B,110.441917,-7.714561
41,Jogja City Mall - A,110.36222,-7.753296
42,Jogja City Mall - B,110.362158,-7.753082
43,Kantor Kal. Sidoarum - A,110.325369,-7.775581
